species;longitude;latitude;source
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.95016278236771;45.975033834621;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.9513514868516;45.9811538879979;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;9.0192711438319;45.8658926349449;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;9.00888382523899;46.0467475432017;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;9.01433929425744;46.0128054880021;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.90715975627467;45.9569886178957;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;9.01710308744317;46.0499256864841;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.74537354510634;46.1799452497139;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.87984390137446;45.9611117127647;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.99959464865782;46.0047424345015;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.98643482158649;46.006903562434;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;9.02022413337195;45.8663380671459;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.88233040311168;45.9614756880632;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.947956825406;45.9783294024658;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.88677622203241;45.9617784103135;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.9808542333708;45.9701996433773;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.88010063920298;45.9610634378656;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;9.01821622962383;45.9400892376044;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.99375403749801;46.0145583007224;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;9.075557748057;46.0635683415147;infoflora
