taxa;x;y
Chrysopogon gryllus (L.) Trin.;2720575;1096386
Chrysopogon gryllus (L.) Trin.;2699456;1116125
Chrysopogon gryllus (L.) Trin.;2712139;1091073
Chrysopogon gryllus (L.) Trin.;2712123;1091099
Chrysopogon gryllus (L.) Trin.;2720508;1104457
Chrysopogon gryllus (L.) Trin.;2700720;1119186
Chrysopogon gryllus (L.) Trin.;2698632;1116033
Chrysopogon gryllus (L.) Trin.;2721305;1125772
Chrysopogon gryllus (L.) Trin.;2710730;1140231
Chrysopogon gryllus (L.) Trin.;2696366;1117794
Chrysopogon gryllus (L.) Trin.;2696413;1117743
Chrysopogon gryllus (L.) Trin.;2723767;1121574
Chrysopogon gryllus (L.) Trin.;2723613;1121576
Chrysopogon gryllus (L.) Trin.;2724860;1121110
Chrysopogon gryllus (L.) Trin.;2723657;1121618
Chrysopogon gryllus (L.) Trin.;2723616;1121650
Chrysopogon gryllus (L.) Trin.;2723581;1121611
Chrysopogon gryllus (L.) Trin.;2724909;1121127
Chrysopogon gryllus (L.) Trin.;2724795;1121118
Chrysopogon gryllus (L.) Trin.;2724698;1121053
Chrysopogon gryllus (L.) Trin.;2724539;1121051
Chrysopogon gryllus (L.) Trin.;2723607;1121626
Chrysopogon gryllus (L.) Trin.;2722494;1124230
Chrysopogon gryllus (L.) Trin.;2721237;1097198
Chrysopogon gryllus (L.) Trin.;2703845;1112410
Chrysopogon gryllus (L.) Trin.;2721248;1097218
Chrysopogon gryllus (L.) Trin.;2721269;1097233
Chrysopogon gryllus (L.) Trin.;2721279;1097218
Chrysopogon gryllus (L.) Trin.;2721294;1097220
Chrysopogon gryllus (L.) Trin.;2712126;1091094
Chrysopogon gryllus (L.) Trin.;2711740;1090990
Chrysopogon gryllus (L.) Trin.;2718480;1135891
Chrysopogon gryllus (L.) Trin.;2701953;1112474
Chrysopogon gryllus (L.) Trin.;2720069;1096257
Chrysopogon gryllus (L.) Trin.;2722921;1122753
Chrysopogon gryllus (L.) Trin.;2692959;1113551
Chrysopogon gryllus (L.) Trin.;2700752;1119102
Chrysopogon gryllus (L.) Trin.;2700663;1119450
Chrysopogon gryllus (L.) Trin.;2700923;1114576
